pageid,pagetitle,label,revisionid,timestamp,comment,type,editentity,parentid
111,Q15,Africa,768608,2016-10-03T10:29:01Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1549]]: \xd5\xa1\xd6\x86\xd6\x80\xd5\xab\xd5\xaf\xd5\xa1\xd6\x81\xd5\xab',create,claim,382435032
111,Q15,Africa,124251,2016-10-05T16:40:19Z,b'/* wbsetclaim-create:2||1 */ [[Property:P3106]]: world/africa',create,claim,383460198
111,Q15,Africa,2336219,2016-10-12T07:33:41Z,b'/* wbeditentity-update:0| */ Added sitelink to [[w:olo:Afriekku]]',update,entity,383994821
111,Q15,Africa,2661317,2016-10-16T06:48:07Z,b'/* wbsetdescription-add:1|tl */ kontinente',add,description,387194710
111,Q15,Africa,24059,2016-10-23T05:56:12Z,"b'/* wbeditentity-update:0| */ Bot: setting proper label for olo,bh,tcy'",update,entity,389589527
111,Q15,Africa,161984,2016-10-24T01:24:25Z,b'/* wbeditentity-update:0| */ fix language codes: bh -> bho',update,entity,393086467
111,Q15,Africa,150965,2016-10-24T21:53:03Z,b'/* wbsetclaimvalue:1| */ [[Property:P2959]]: [[Q22828260]]',,claim,393766955
111,Q15,Africa,19911,2016-11-08T15:28:45Z,b'/* wbsetclaim-update:2||1 */ [[Property:P242]]: Africa (orthographic projection).svg',update,claim,394534271
111,Q15,Africa,19911,2016-11-08T15:36:24Z,b'/* wbsetclaim-update:2||1 */ [[Property:P242]]: Africa on the globe (white-red).svg',update,claim,403934698
111,Q15,Africa,201849,2016-12-01T13:08:08Z,"b'/* wbsetsitelink-add:1|fiwikivoyage */ Afrikka, #quickstatements'",add,sitelink,403937713
111,Q15,Africa,201849,2016-12-06T11:53:34Z,b'/* wbremoveclaims-remove:1| */ [[Property:P460]]: [[Q22828260]]',remove,claim,412896967
111,Q15,Africa,414842847,2016-12-08T07:36:07Z,b'/* wbsetsitelink-add:1|enwikiversity */ Comparative law and justice/Africa',add,sitelink,414353014
111,Q15,Africa,414853836,2016-12-08T09:34:20Z,b'/* wbsetsitelink-add:1|enwikibooks */ Pinyin/Africa',add,sitelink,414842847
