pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
417,Q262,5068,2016-11-24T15:24:35Z,b'Reverted edits by [[Special:Contributions/171.33.198.149|171.33.198.149]] ([[User talk:171.33.198.149|talk]]) to last revision by [[User:IvanP|IvanP]]',revert,,410908086
417,Q262,158926,2016-11-28T23:08:04Z,b'/* wbsetlabel-add:1|aeb-latn */ ed-ded-dz\xc3\xa8yer',add,label,410909734
417,Q262,158926,2016-11-28T23:08:35Z,b'/* wbsetlabel-set:1|aeb-latn */ ed-dz\xc3\xa8yer',set,label,412191109
417,Q262,201849,2016-12-02T12:50:48Z,"b'/* wbsetsitelink-add:1|fiwikivoyage */ Algeria, #quickstatements'",add,sitelink,412191254
417,Q262,413525378,2016-12-03T13:46:08Z,b'/* wbsetdescription-set:1|ar */ \xd8\xaf\xd9\x88\xd9\x84\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xb4\xd9\x85\xd8\xa7\xd9\x84 \xd8\xa3\xd9\x88\xd8\xb1\xd8\xa8\xd8\xa7',set,description,413138581
417,Q262,413645485,2016-12-03T19:21:51Z,b'/* wbsetclaim-create:2||1 */ [[Property:P2852]]: [[Q6551]]',create,claim,413525378
417,Q262,413646520,2016-12-03T19:24:26Z,b'/* wbsetclaim-create:2||1 */ [[Property:P2852]]: [[Q6551]]',create,claim,413645485
417,Q262,413646847,2016-12-03T19:25:17Z,b'/* wbsetclaim-update:2||1|3 */ [[Property:P2852]]: [[Q6551]]',update,claim,413646520
417,Q262,2020146,2016-12-14T04:36:41Z,b'/* wbsetdescription-set:1|ar */ \xd8\xaf\xd9\x88\xd9\x84\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xb4\xd9\x85\xd8\xa7\xd9\x84 \xd8\xa3\xd9\x81\xd8\xb1\xd9\x8a\xd9\x82\xd9\x8a\xd8\xa7',set,description,413646847
417,Q262,2775194,2016-12-18T11:26:45Z,b'/* wbsetlabel-add:1|gu */ \xe0\xaa\x85\xe0\xaa\xb2\xe0\xab\x8d\xe0\xaa\x9c\xe0\xab\x80\xe0\xaa\xb0\xe0\xaa\xbf\xe0\xaa\xaf\xe0\xaa\xbe',add,label,416218154
417,Q262,2775194,2016-12-18T11:27:16Z,b'/* wbsetlabel-set:1|gu */ \xe0\xaa\x85\xe0\xaa\xb2\xe0\xaa\x9c\xe0\xab\x80\xe0\xaa\xb0\xe0\xaa\xbf\xe0\xaa\xaf\xe0\xaa\xbe',set,label,417771256
417,Q262,418421840,2016-12-20T23:16:31Z,b'/* wbsetlabel-add:1|si */ \xe0\xb6\x87\xe0\xb6\xbd\xe0\xb7\x8a\xe0\xb6\xa2\xe0\xb7\x93\xe0\xb6\xbb\xe0\xb7\x92\xe0\xb6\xba\xe0\xb7\x8f\xe0\xb7\x80',add,label,417771391
417,Q262,4279,2016-12-24T11:01:44Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Algeria, #mix'n'match""",create,claim,418421840
417,Q262,54239,2017-01-06T18:35:37Z,b'/* wbsetdescription-add:1|bg */ \xd0\xb4\xd1\x8a\xd1\x80\xd0\xb6\xd0\xb0\xd0\xb2\xd0\xb0 \xd0\xb2 \xd0\xa1\xd0\xb5\xd0\xb2\xd0\xb5\xd1\x80\xd0\xbd\xd0\xb0 \xd0\x90\xd1\x84\xd1\x80\xd0\xb8\xd0\xba\xd0\xb0',add,description,419591736
417,Q262,54239,2017-01-06T18:35:40Z,b'/* wbsetaliases-add:1|bg */ \xd0\x90\xd0\xbb\xd0\xb6\xd0\xb8\xd1\x80\xd1\x81\xd0\xba\xd0\xb0 \xd0\xbd\xd0\xb0\xd1\x80\xd0\xbe\xd0\xb4\xd0\xbd\xd0\xbe-\xd0\xb4\xd0\xb5\xd0\xbc\xd0\xbe\xd0\xba\xd1\x80\xd0\xb0\xd1\x82\xd0\xb8\xd1\x87\xd0\xbd\xd0\xb0 \xd1\x80\xd0\xb5\xd0\xbf\xd1\x83\xd0\xb1\xd0\xbb\xd0\xb8\xd0\xba\xd0\xb0',add,aliase,424958604
417,Q262,533014,2017-01-08T12:13:28Z,"b'/* wbcreateclaim-create:1| */ [[Property:P3422]]: 99352, #quickstatements'",create,claim,424958614
417,Q262,109841,2017-01-15T05:03:50Z,b'/* wbsetsitelink-add:1|fawikiquote */ \xd8\xa7\xd9\x84\xd8\xac\xd8\xb2\xd8\xa7\xdb\x8c\xd8\xb1',add,sitelink,425596413
417,Q262,432680466,2017-01-18T20:24:12Z,b'/* wbsetlabel-set:1|en */ Morroco',set,label,429730733
417,Q262,5068,2017-01-18T20:32:46Z,b'Reverted edits by [[Special:Contributions/109.30.44.192|109.30.44.192]] ([[User talk:109.30.44.192|talk]]) to last revision by [[User:Sonia Sevilla|Sonia Sevilla]]',revert,,432680466
417,Q262,2785724,2017-01-20T00:51:20Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Argelia, #mix'n'match""",create,claim,432681940
417,Q262,2785724,2017-01-20T00:51:33Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: \xd8\xa7\xd9\x84\xd8\xac\xd8\xb2\xd8\xa7\xd8\xa6\xd8\xb1, #mix'n'match""",create,claim,433127170
417,Q262,142217,2017-01-23T12:38:23Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1549]]: \xd8\xac\xd8\xb2\xd8\xa7\xd8\xa6\xd8\xb1\xd9\x8a',create,claim,433127193
417,Q262,142217,2017-01-23T12:39:27Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1549]]: \xd8\xac\xd8\xb2\xd8\xa7\xd8\xa6\xd8\xb1\xd9\x8a\xd8\xa9',create,claim,435153298
417,Q262,2785724,2017-01-29T00:52:10Z,b'/* wbremoveclaims-remove:1| */ [[Property:P3417]]: Argelia',remove,claim,435153796
417,Q262,2785724,2017-01-29T00:52:15Z,b'/* wbremoveclaims-remove:1| */ [[Property:P3417]]: \xd8\xa7\xd9\x84\xd8\xac\xd8\xb2\xd8\xa7\xd8\xa6\xd8\xb1',remove,claim,438110360
417,Q262,439720819,2017-01-31T02:15:01Z,b'/* wbsetlabel-set:1|en */ \xd9\x82\xd9\x86\xd8\xaf\xd9\x87\xd8\xa7\xd8\xb1',set,label,438110401
417,Q262,49613,2017-01-31T02:21:03Z,b'/* restore:0||438110401|JayWacker */',restore,,439720819
422,Q263,20184,2016-10-13T00:48:46Z,b'/* clientsitelink-remove:1||trwikisource */ VikiKaynak',remove,sitelink,376504552
422,Q263,770641,2016-10-16T10:30:34Z,b'/* wbsetsitelink-add:1|eswiki */ Wikisource',add,sitelink,387645307
422,Q263,4279,2016-12-24T11:02:34Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Wikisource, #mix'n'match""",create,claim,389723612
422,Q263,54239,2017-01-06T18:36:31Z,b'/* wbsetdescription-remove:1|bg */ \xd0\xbd\xd0\xb0\xd1\x81\xd0\xb5\xd0\xbb\xd0\xb5\xd0\xbd\xd0\xb8\xd0\xb5 \xd0\xbd\xd0\xb0 \xd0\xb7\xd0\xb5\xd0\xbc\xd1\x8f\xd1\x82\xd0\xb0',remove,description,419591951
424,Q264,110062,2016-11-16T21:50:02Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3338]]: hurricane-sandy-1, #mix'n'match""",create,claim,373328213
424,Q264,416619121,2016-12-15T11:39:13Z,b'/* wbsetclaim-update:2||1|2 */ [[Property:P2052]]: 115\xc2\xb11 miles per hour',update,claim,408437246
424,Q264,54239,2017-01-06T18:38:17Z,b'/* wbsetlabel-add:1|bg */ \xd0\xa1\xd0\xb0\xd0\xbd\xd0\xb4\xd0\xb8',add,label,416619121
424,Q264,54239,2017-01-06T18:38:18Z,b'/* wbsetdescription-add:1|bg */ \xd1\x83\xd1\x80\xd0\xb0\xd0\xb3\xd0\xb0\xd0\xbd \xd0\xbe\xd1\x82 \xd0\xba\xd1\x80\xd0\xb0\xd1\x8f \xd0\xbd\xd0\xb0 \xd0\xbe\xd0\xba\xd1\x82\xd0\xbe\xd0\xbc\xd0\xb2\xd1\x80\xd0\xb8 2012 \xd0\xb3.',add,description,424959659
432,Q265,1398606,2016-10-03T05:40:49Z,b'/* wbcreateclaim-create:1| */ [[Property:P3221]]: destination/uzbekistan',create,claim,382194641
432,Q265,201849,2016-10-05T18:47:47Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2959]]: [[Q27103824]], #quickstatements'",create,claim,383413179
432,Q265,2719836,2016-10-06T21:47:04Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2046]]: 448,978.0 square kilometre'",create,claim,384025692
432,Q265,2719836,2016-10-06T21:47:14Z,"b'/* wbsetreference-add:2| */ [[Property:P2046]]: 448,978.0 square kilometre'",add,reference,384448950
432,Q265,609373,2016-10-08T12:49:53Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2997]]: 16, #quickstatements'",create,claim,384448979
432,Q265,609373,2016-10-08T12:50:03Z,"b'/* wbsetreference-add:2| */ [[Property:P2997]]: 16, #quickstatements'",add,reference,384952871
432,Q265,2336219,2016-10-12T06:53:24Z,b'/* wbeditentity-update:0| */ Added sitelink to [[w:olo:Uzbekistuanu]]',update,entity,384952922
432,Q265,148056,2016-10-14T18:35:15Z,b'/* wbsetclaim-create:2||1 */ [[Property:P3238]]: 8',create,claim,387182980
432,Q265,609373,2016-10-20T12:48:19Z,"b'/* wbcreateclaim-create:1| */ [[Property:P3000]]: 17, #quickstatements'",create,claim,388634376
432,Q265,609373,2016-10-20T12:48:21Z,"b'/* wbsetreference-add:2| */ [[Property:P3000]]: 17, #quickstatements'",add,reference,391634101
