pagetitle,NoOfWikidataItems
1,2939993
2,2087685
3,960710
4,556612
5,396137
6,240110
7,215929
8,135406
9,94671
10,122156
11,64831
12,62210
13,36218
14,32223
15,29415
16,41450
17,34475
18,27366
19,21009
20,16174
21,28364
22,11537
23,8349
24,10014
25,6216
26,5597
27,6085
28,6697
29,5449
30,5964
31,5919
32,6681
33,5989
34,5230
35,6033
36,4883
37,4479
38,3971
39,4403
40,2903
41,3161
42,2772
43,2377
44,2111
45,2093
46,1525
47,1835
48,1546
49,1576
50,1386
51,1448
52,1212
53,1283
54,1222
55,1189
56,1052
57,1147
58,1016
59,1108
60,1187
61,1546
62,2213
63,3901
64,5995
65,6505
66,5866
67,3205
68,1560
69,1018
70,750
71,636
72,673
73,574
74,510
75,539
76,483
77,476
78,494
79,461
80,510
81,569
82,576
83,508
84,619
85,634
86,661
87,634
88,717
89,705
90,712
91,685
92,753
93,1348
94,1502
95,1383
96,1066
97,956
98,838
99,788
100,680
101,639
102,606
103,562
104,437
105,410
106,417
107,400
108,358
109,348
110,300
111,291
112,252
113,249
114,242
115,171
116,198
117,158
118,170
119,140
120,152
121,116
122,173
123,112
124,143
125,138
126,183
127,151
128,119
129,120
130,98
131,118
132,85
133,81
134,89
135,67
136,97
137,70
138,78
139,61
140,64
141,59
142,49
143,55
144,56
145,53
146,42
147,49
148,38
149,39
150,38
151,38
152,34
153,50
154,26
155,34
156,21
157,30
158,27
159,21
160,20
161,26
162,16
163,10
164,20
165,16
166,17
167,16
168,25
169,23
170,17
171,16
172,17
173,16
174,17
175,15
176,10
177,15
178,10
179,11
180,13
181,19
182,10
183,16
184,21
185,9
186,19
187,10
188,8
189,8
190,13
191,9
192,20
193,21
194,12
195,14
196,22
197,7
198,11
199,17
200,17
201,15
202,26
203,13
204,24
205,20
206,9
207,14
208,21
209,6
210,11
211,16
212,15
213,20
214,22
215,9
216,19
217,24
218,14
219,17
220,18
221,17
222,10
223,19
224,9
225,16
226,23
227,14
228,14
229,29
230,14
231,15
232,39
233,22
234,14
235,41
236,16
237,10
238,36
239,13
240,17
241,50
242,15
243,23
244,40
245,16
246,16
247,37
248,16
249,24
250,36
251,18
252,22
253,57
254,15
255,20
256,40
257,8
258,19
259,45
260,14
261,21
262,44
263,20
264,21
265,45
266,18
267,30
268,54
269,14
270,18
271,38
272,14
273,18
274,41
275,23
276,27
277,43
278,24
279,25
280,39
281,22
282,34
283,53
284,16
285,24
286,54
287,15
288,35
289,51
290,18
291,29
292,41
293,23
294,39
295,52
296,19
297,31
298,51
299,29
300,32
301,60
302,31
303,50
304,62
305,32
306,67
307,108
308,94
309,90
310,141
311,121
312,175
313,213
314,206
315,218
316,255
317,275
318,269
319,201
320,178
321,223
322,172
323,80
324,100
325,119
326,64
327,98
328,136
329,99
330,226
331,504
332,120
333,446
334,1063
335,156
336,288
337,199
338,34
339,41
340,5
341,4
345,1
346,2
347,1
348,1
350,3
352,1
355,4
356,1
357,1
358,1
359,2
360,1
362,3
363,1
365,1
366,1
367,2
369,1
371,1
372,1
376,1
377,1
378,2
382,1
384,2
385,1
386,1
387,2
390,1
391,2
392,1
394,2
396,2
398,2
399,1
402,2
403,1
404,1
405,2
406,1
408,1
410,2
411,1
412,3
413,1
414,3
415,1
416,2
417,2
420,1
421,2
422,2
423,2
425,2
426,1
427,1
428,2
429,1
435,1
436,1
437,1
438,1
439,1
442,1
446,1
449,1
455,1
457,1
458,1
461,1
466,1
467,1
468,1
470,1
471,1
472,1
473,1
474,2
476,1
484,1
490,1
492,1
494,1
510,1
520,1
523,1
531,2
536,1
537,1
542,1
545,1
546,1
552,1
555,1
556,1
568,1
570,1
578,1
586,1
589,1
616,1
617,1
661,1
669,1
704,1
714,1
730,1
736,1
744,2
745,1
754,1
807,1
812,1
829,1
834,1
837,1
838,1
857,1
858,1
859,1
860,1
862,1
890,1
892,1
895,1
913,1
920,1
924,1
930,1
948,1
966,1
975,1
1004,2
1020,1
1026,1
1032,1
1044,1
1049,1
1071,1
1096,1
1101,1
1147,1
1174,1
1178,1
1186,1
1187,1
1199,1
1221,2
1222,1
1233,1
1257,1
1266,1
1269,1
1276,1
1283,1
1288,1
1437,1
1462,1
1607,1
1611,1
1618,1
1759,1
2097,1
2610,1
3874,1
4007,1
4042,1
4096,1
4231,1
